benchmark,dataset,question_id,data_source,duration,msg_size
MMLU,philosophy,9714,7,0.4735531806945801,7001
MMLU,philosophy,9715,0,0.41193580627441406,7028
MMLU,philosophy,9716,6,0.4310159683227539,7317
MMLU,philosophy,9717,9,0.24768924713134766,7422
MMLU,philosophy,9718,9,0.2404186725616455,7104
MMLU,philosophy,9719,5,0.3383972644805908,6905
MMLU,philosophy,9720,9,0.23727130889892578,6920
MMLU,philosophy,9721,2,0.5339827537536621,6813
MMLU,philosophy,9722,6,0.36895084381103516,6867
MMLU,philosophy,9723,6,0.5400307178497314,7135
MMLU,philosophy,9724,3,0.5165960788726807,7269
MMLU,philosophy,9725,7,0.5580835342407227,7004
MMLU,philosophy,9726,6,0.4796788692474365,7389
MMLU,philosophy,9727,1,0.2378711700439453,7067
MMLU,philosophy,9728,2,0.46073079109191895,7186
MMLU,philosophy,9729,7,0.44477272033691406,7080
MMLU,philosophy,9730,4,0.326984167098999,6982
MMLU,philosophy,9731,0,0.46193432807922363,7176
MMLU,philosophy,9732,6,0.4777717590332031,7012
MMLU,philosophy,9733,9,0.28598904609680176,7264
MMLU,philosophy,9734,3,0.45979738235473633,7117
MMLU,philosophy,9735,5,0.32602930068969727,6953
MMLU,philosophy,9736,7,0.43919849395751953,7266
MMLU,philosophy,9737,1,0.21479177474975586,6900
MMLU,philosophy,9738,0,0.5453596115112305,7306
MMLU,philosophy,9739,0,0.5419456958770752,7487
MMLU,philosophy,9740,7,0.45052242279052734,6896
MMLU,philosophy,9741,6,0.4907503128051758,7193
MMLU,philosophy,9742,5,0.4249553680419922,6985
MMLU,philosophy,9743,0,0.5917818546295166,7173
MMLU,philosophy,9744,2,0.5581932067871094,7147
MMLU,philosophy,9745,9,0.23281431198120117,7046
MMLU,philosophy,9746,6,0.496687650680542,7247
MMLU,philosophy,9747,1,0.30217814445495605,6888
MMLU,philosophy,9748,3,0.5092895030975342,7375
MMLU,philosophy,9749,1,0.300020694732666,7317
MMLU,philosophy,9750,3,0.5950107574462891,7330
MMLU,philosophy,9751,2,0.5641236305236816,6732
MMLU,philosophy,9752,2,0.5345723628997803,6600
MMLU,philosophy,9753,5,0.3354923725128174,6822
MMLU,philosophy,9754,1,0.2995419502258301,6884
MMLU,philosophy,9755,4,0.31711816787719727,6973
MMLU,philosophy,9756,4,0.3030087947845459,7459
MMLU,philosophy,9757,4,0.31389951705932617,7360
MMLU,philosophy,9758,0,0.5401020050048828,6948
MMLU,philosophy,9759,2,0.5341777801513672,6876
MMLU,philosophy,9760,7,0.4433555603027344,7036
MMLU,philosophy,9761,3,0.5214126110076904,7420
MMLU,philosophy,9762,1,0.3648693561553955,7076
MMLU,philosophy,9763,0,0.5406899452209473,7266
MMLU,philosophy,9764,0,0.6778314113616943,7132
MMLU,philosophy,9765,6,0.47209906578063965,6885
MMLU,philosophy,9766,2,0.5714969635009766,6796
MMLU,philosophy,9767,8,0.24681997299194336,7275
MMLU,philosophy,9768,5,0.39794373512268066,7028
MMLU,philosophy,9769,7,0.44339418411254883,7445
MMLU,philosophy,9770,9,0.33200836181640625,7300
